604,Parente & Brian Snõddy,['Hamletback Goliath'],['Hamletback Goliath']
114,Dave DeVries,"['Veiling Oddity', 'Planar Chaos', 'Shadowmoor']","['Veiling Oddity', 'Simian Spirit Guide', 'Fossil Find']"
239,Raoul Vitale,"['Plains', 'Theros', 'Gatecrash', ""Dragon's Maze"", 'Commander 2016', 'Commander 2015', 'Commander Anthology', 'Commander 2013 Edition', 'Magic 2014 Core Set', 'Born of the Gods', 'Dragons of Tarkir', 'Aether Revolt', 'Return to Ravnica', 'Archenemy: Nicol Bolas', 'Magic: The Gathering—Conspiracy', 'Kaladesh', 'Conspiracy: Take the Crown', 'Amonkhet', 'Ixalan', 'Magic Origins', 'Magic 2015 Core Set']","['Plains', 'Island', 'Swamp', 'Mountain', 'Forest', 'Foundry Street Denizen', 'Azorius Cluestone', 'Boros Cluestone', 'Dimir Cluestone', 'Golgari Cluestone', 'Gruul Cluestone', 'Izzet Cluestone', 'Orzhov Cluestone', 'Rakdos Cluestone', 'Selesnya Cluestone', 'Simic Cluestone', 'Golgari Signet', 'Boros Cluestone', 'Golgari Signet', 'Izzet Signet', 'Orzhov Cluestone', 'Golgari Signet', 'Selesnya Signet', 'Selesnya Signet', 'Hunt the Weak', 'Charging Badger', 'Flatten', 'Sheltered Aerie', 'Custodian of the Trove', 'Lifecraft Awakening', 'Pendulum of Patterns', 'Brushstrider', 'Aerial Responder', ""Nature's Claim"", 'Aerial Responder', 'Tasseled Dromedary', 'Durable Handicraft', 'Hunt the Weak', 'Brushstrider', 'Tah-Crop Elite', 'Hieroglyphic Illumination', 'Faith of the Devoted', 'Plains', 'Island', 'Swamp', 'Mountain', 'Forest', 'Plains', 'Foundry Street Denizen', 'Hunt the Weak']"
585,Yokota Katsumi,"['Ursine Fylgja', 'Coldsnap']","['Ursine Fylgja', 'Greater Stone Spirit']"
447,Ioan Dumitrescu,['Prized Elephant'],['Prized Elephant']
10,Zoltan Boros & Gabor Szikszai,"['Felidar Sovereign', 'Zendikar', 'Planar Chaos', 'Dissension', 'Eventide', 'Planechase 2012 Edition', 'Magic: The Gathering-Commander', 'Time Spiral', 'Alara Reborn', 'Magic 2011', 'Commander 2016', 'Commander 2015', 'Magic 2013', 'Battle for Zendikar', 'Commander Anthology', 'Magic 2010', 'Planechase', 'Commander 2017', 'Commander 2013 Edition', 'Magic 2014 Core Set', 'Morningtide', 'Worldwake', 'Shards of Alara', 'Archenemy', 'Future Sight', 'Scars of Mirrodin', 'Rise of the Eldrazi', 'Commander 2014', 'Archenemy: Nicol Bolas', 'Ravnica: City of Guilds', 'Magic: The Gathering—Conspiracy', 'Planechase Anthology', 'Conflux', 'Coldsnap', 'Tenth Edition', 'Lorwyn', 'Guildpact', 'Shadowmoor', 'Magic 2012', 'Magic 2015 Core Set']","['Felidar Sovereign', 'Whiplash Trap', 'Hideous End', 'Lavaball Trap', 'Baloth Woodcrasher', 'Scute Mob', 'Spidersilk Net', ""Trailblazer's Boots"", 'Ghost Tactician', 'Whitemane Lion', 'Braids, Conjurer Adept', 'Erratic Mutation', 'Timebender', 'Dash Hopes', 'Enslave', 'Aether Membrane', 'Teneb, the Harvester', 'Soulsworn Jury', 'Grand Arbiter Augustin IV', 'Momir Vig, Simic Visionary', 'Rakdos Augermage', 'Rakdos the Defiler', 'Hide', 'Seek', 'Smoldering Butcher', 'Rekindled Flame', 'Inside Out', ""Rivals' Duel"", 'Prison Term', 'Aethersnipe', 'Baloth Woodcrasher', 'Brion Stoutarm', 'Electrolyze', 'Golgari Guildmage', 'Master Warcraft', 'Teneb, the Harvester', 'Forest', 'Mangara of Corondor', 'Clockspinning', ""Fool's Demise"", 'Magus of the Jar', 'Ophidian Eye', 'Pardic Dragon', 'Krosan Grip', 'Ith, High Arcanist', 'Academy Ruins', 'Vesuva', 'Wildfield Borderpost', 'Vectis Dominator', 'Magefire Wings', 'Crystallization', 'Stabbing Pain', 'Elixir of Immortality', 'Blazing Archon', 'Mirror Entity', 'Krosan Grip', 'Turn to Slag', 'Elixir of Immortality', 'Felidar Sovereign', 'Mirror Entity', 'Hada Spy Patrol', 'Krosan Grip', 'Master Warcraft', 'Soul Bleed', 'Burning Inquiry', 'Burst of Speed', 'Ignite Disorder', 'Inferno Elemental', 'Prison Term', 'Whiplash Trap', 'Isle of Vesuva', 'Naya', 'Helldozer', 'Hideous End', 'Teneb, the Harvester', 'Mirror Entity', 'Hada Spy Patrol', 'Where Ancients Tread', 'Avenger of Zendikar', 'Baloth Woodcrasher', 'Krosan Grip', 'Golgari Guildmage', 'Wall of Swords', 'Elixir of Immortality', ""Cenn's Tactician"", ""Thieves' Fortune"", ""Rivals' Duel"", 'Deglamer', 'Refraction Trap', ""Cosi's Ravager"", 'Avenger of Zendikar', 'Exuberant Firestoker', 'Where Ancients Tread', 'Plains', 'Mountain', 'Forest', 'Forest', 'Volcanic Fallout', 'Dust of Moments', ""Scout's Warning"", 'Ichor Slick', 'Fatal Attraction', 'Petrified Plating', 'Shape Anew', 'Turn to Slag', 'Auriok Replica', 'Moriok Replica', 'Neurok Replica', 'Sylvok Replica', 'Vulshok Replica', 'Copperline Gorge', 'Puncturing Light', 'Cast Through Time', 'Hada Spy Patrol', 'Recurring Insight', 'Skeletal Wurm', 'Grotag Siege-Runner', 'Valakut Fireboar', 'Whitemane Lion', ""Fool's Demise"", 'Scute Mob', 'Blazing Archon', 'Wojek Siren', 'Helldozer', 'Glare of Subdual', 'Golgari Guildmage', 'Master Warcraft', 'Volcanic Fallout', 'Isle of Vesuva', ""Rivals' Duel"", 'Naya', 'Ignite Disorder', 'Volcanic Fallout', 'Exploding Borders', 'Nacatl Outlander', 'Vagrant Plowbeasts', 'Drelnoch', 'Grim Harvest', 'Cryoclasm', 'Ronom Hulk', 'Benalish Knight', ""Serra's Embrace"", 'Wall of Swords', 'Cryoclasm', 'Incinerate', 'Femeref Archers', 'Battle Mastery', 'Kinsbaile Balloonist', 'Mirror Entity', 'Aethersnipe', 'Guile', 'Paperfin Rascal', 'Flamekin Spitfire', 'Hearthcage Giant', 'Brion Stoutarm', 'Leyline of Singularity', 'Orzhov Euthanist', 'Poisonbelly Ogre', 'Predatory Focus', 'Electrolyze', 'Invoke the Firemind', 'Prison Term', 'Faerie Swarm', 'Gloomlance', 'Jaws of Stone', 'Thistledown Duo', 'Poison the Well', 'Reknit', 'Wheel of Sun and Moon', 'Incinerate', 'Elixir of Immortality', 'Battle Mastery']"
385,Craig J Spearing,"['Seeker of the Way', 'Khans of Tarkir', 'Commander 2015', 'Battle for Zendikar', 'Commander Anthology', 'Commander 2017', 'Oath of the Gatewatch', 'Fate Reforged', 'Rivals of Ixalan', 'Dragons of Tarkir', 'Aether Revolt', 'Magic: The Gathering—Conspiracy', 'Eldritch Moon', 'Kaladesh', 'Amonkhet', 'Hour of Devastation', 'Ixalan', 'Shadows over Innistrad', 'Magic Origins', 'Magic 2015 Core Set']","['Seeker of the Way', 'Take Up Arms', 'Jeskai Elder', 'Victimize', 'Grave Birthing', 'Defiant Bloodlord', 'Catacomb Sifter', 'Hedron Archive', 'Victimize', ""Polymorphist's Jest"", 'Hedron Archive', 'Eldrazi Mimic', 'Hedron Alignment', 'Jeskai Sage', 'Defiant Ogre', 'Abzan Kin-Guard', 'Vampire Champion', 'Risen Executioner', 'Ainok Survivalist', 'Invigorated Rampage', ""Tezzeret's Simulacrum"", 'Victimize', 'Extricator of Sin', 'Extricator of Flesh', 'Clear Shot', 'Peema Outrider', 'Bomat Courier', 'Dukhara Peafowl', 'Eager Construct', 'Electrify', 'Limits of Solidarity', 'Thresher Lizard', 'Ahn-Crop Champion', 'Striped Riverwinder', 'Kindled Fury', 'Overcome', 'Mirage Mirror', 'Bellowing Aegisaur', 'Encampment Keeper', 'Opt', 'Lightning Strike', 'Duskwatch Recruiter', 'Krallenhorde Howler', 'Might Beyond Reason', 'Solitary Hunter', 'One of the Pack', 'Bonded Construct', 'Ramroller', 'Military Intelligence', ""Polymorphist's Jest""]"
212,Slawomir Maniak,"['Aqueous Form', 'Theros', 'Magic: The Gathering-Commander', 'Gatecrash', ""Dragon's Maze"", 'Dark Ascension', 'Khans of Tarkir', 'Commander 2016', 'Commander 2015', 'Magic 2013', 'Journey into Nyx', 'Battle for Zendikar', 'Commander 2017', 'Commander 2013 Edition', 'Magic 2014 Core Set', 'Oath of the Gatewatch', 'Fate Reforged', 'Rivals of Ixalan', 'Born of the Gods', 'Avacyn Restored', 'Innistrad', 'Dominaria', 'Explorers of Ixalan', 'Dragons of Tarkir', 'Aether Revolt', 'Return to Ravnica', 'Commander 2014', 'Archenemy: Nicol Bolas', 'Eldritch Moon', 'Kaladesh', 'Conspiracy: Take the Crown', 'Amonkhet', 'Hour of Devastation', 'Ixalan', 'Shadows over Innistrad', 'Magic Origins', 'Magic 2015 Core Set']","['Aqueous Form', 'Abhorrent Overlord', 'Ember Swallower', 'Stormbreath Dragon', 'Fleecemane Lion', 'Flametongue Kavu', 'Realmwright', 'Furious Resistance', 'Homing Lightning', 'Aurelia, the Warleader', 'Duskmantle Guildmage', 'Riot Control', 'Punish the Enemy', 'Tithe Drinker', 'Curse of Exhaustion', 'Elgaud Inquisitor', 'Curse of Echoes', 'Gravetiller Wurm', 'Vorapede', 'Diregraf Captain', 'Cancel', 'Clever Impersonator', 'Debilitating Injury', 'Bring Low', 'Howl of the Horde', 'Icefeather Aven', 'Sphere of Safety', 'Humble Defector', 'Iroas, God of Victory', 'Warchief Giant', 'Silent Sentinel', 'Prophetic Bolt', 'Augur of Bolas', 'Disciple of Bolas', 'Fire Elemental', 'Mindclaw Shaman', 'Armament of Nyx', 'Mortal Obstinacy', 'Silence the Believers', 'Wildfire Cerberus', 'Bassara Tower Archer', 'Iroas, God of Victory', 'Conduit of Ruin', 'Ruin Processor', ""Titan's Presence"", 'Salvage Drone', 'Radiant Flames', 'Falkenrath Noble', 'Palace Siege', 'Fleecemane Lion', 'Savage Ventmaw', 'Tithe Drinker', 'Augur of Bolas', 'Battle Sliver', 'Vastwood Hydra', 'Cultivator Drone', 'Dread Defiler', 'Flaying Tendrils', 'Sifter of Skulls', 'Stalking Drone', 'Palace Siege', 'Arcbond', 'Humble Defector', 'Lightning Shrieker', 'Divine Verdict', 'Raptor Companion', ""Admiral's Order"", 'Reckless Rage', ""Acolyte's Reward"", 'Silent Sentinel', 'Whelming Wave', 'Archetype of Endurance', 'Swordwise Centaur', 'Bloodflow Connoisseur', 'Harvester of Souls', 'Raging Poltergeist', 'Eaten by Spiders', 'Wild Defiance', 'Selfless Cathar', ""Memory's Journey"", 'Falkenrath Noble', 'Screeching Bat', 'Stalking Vampire', 'Skirsdag Cultist', 'Hollowhenge Scavenger', 'Skirk Prospector', 'Pierce the Sky', 'Merfolk Sovereign', 'Screamreach Brawler', 'Savage Ventmaw', 'Skyship Plunderer', 'Gremlin Infestation', 'Monstrous Onslaught', 'Sphere of Safety', 'Viashino Racketeer', 'Axebane Guardian', 'Drudge Beetle', 'Sluiceway Scorpion', ""Sphinx's Revelation"", 'Disciple of Bolas', 'Flametongue Kavu', 'Harvester of Souls', 'Flametongue Kavu', 'Kessig Prowler', 'Sinuous Predator', 'Ulrich of the Krallenhorde', 'Ulrich, Uncontested Alpha', 'Nimble Innovator', 'Shrewd Negotiation', 'Speedway Fanatic', 'Electrostatic Pummeler', 'Harvester of Souls', 'Bitterblade Warrior', 'Sandwurm Convergence', 'Tattered Mummy', 'Adorned Pouncer', 'Angel of Condemnation', 'Raptor Companion', 'River Sneak', 'Rummaging Goblin', 'Deeproot Warrior', ""Jace's Scrutiny"", 'Geier Reach Bandit', 'Vildin-Pack Alpha', 'Sage of Ancient Lore', 'Werewolf of Ancient Hunger', ""Sphinx's Tutelage"", 'Devouring Light', 'First Response', 'Selfless Cathar', ""Crowd's Favor"", 'Kurkesh, Onakke Ancient', 'Paragon of Fierce Defiance']"
60,Rob Alexander,"['Turntimber Grove', 'Torment', 'Planar Chaos', 'Dissension', 'Apocalypse', 'Judgment', 'Theros', 'Eventide', 'Planechase 2012 Edition', 'Magic: The Gathering-Commander', 'Revised Edition', 'Mirrodin', 'Time Spiral', 'Magic 2011', 'Darksteel', 'Commander 2015', 'Magic 2013', 'Commander Anthology', 'Scourge', 'Fifth Edition', 'Magic 2010', 'Planechase', 'Stronghold', ""Urza's Saga"", 'Commander 2017', 'Legends', 'Commander 2013 Edition', 'Saviors of Kamigawa', 'Magic 2014 Core Set', 'Morningtide', 'Limited Edition Beta', 'Seventh Edition', 'Limited Edition Alpha', 'Worldwake', 'Unlimited Edition', 'Exodus', 'Archenemy', 'Innistrad', 'Ice Age', 'Ninth Edition', 'Explorers of Ixalan', 'Onslaught', 'Rise of the Eldrazi', 'Prophecy', 'Commander 2014', 'Champions of Kamigawa', 'Archenemy: Nicol Bolas', 'Ravnica: City of Guilds', 'Fourth Edition', 'Planechase Anthology', 'Betrayers of Kamigawa', 'Arabian Nights', 'Coldsnap', 'Tenth Edition', 'Invasion', 'Homelands', 'Classic Sixth Edition', 'Odyssey', 'Fallen Empires', 'The Dark', 'Lorwyn', 'Time Spiral ""Timeshifted""', 'Eighth Edition', 'Guildpact', 'Ixalan', ""Urza's Legacy"", 'Shadowmoor', 'Fifth Dawn', 'Alliances', 'Magic 2012', 'Magic Origins', 'Mercadian Masques', 'Magic 2015 Core Set']","['Turntimber Grove', 'Cephalid Aristocrat', 'Tainted Wood', 'Magus of the Bazaar', 'Circle of Affliction', 'Harmonize', 'Blood Crypt', 'Breeding Pool', 'Hallowed Fountain', 'Ana Sanctuary', 'Llanowar Wastes', 'Shivan Reef', ""Soulcatchers' Aerie"", 'Nantuko Monastery', 'Plains', 'Island', 'Swamp', 'Mountain', 'Forest', 'Altar Golem', 'Twilight Mire', 'Akoum', 'Guard Gomazoa', 'Fractured Powerstone', 'Guard Gomazoa', 'Selesnya Evangel', 'Vivid Meadow', 'Island', 'Forest', 'Web', 'Lance', 'Badlands', 'Savannah', 'Taiga', 'Underground Sea', 'Ancient Den', 'Great Furnace', 'Vault of Whispers', 'Plains', 'Island', 'Swamp', 'Mountain', 'Forest', 'Greater Gargadon', 'Flagstones of Trokair', 'Plains', 'Island', 'Forest', 'Squadron Hawk', 'Leyline of the Void', 'Island', 'Mountain', 'Forest', 'Reap and Sow', 'Ancient Craving', 'Ancient Amphitheater', 'Tainted Wood', 'Vivid Meadow', 'Rain of Blades', 'Island', 'Harrow', 'Tainted Wood', 'Vivid Meadow', 'Forest', 'Forest', 'Rain of Blades', 'Divergent Growth', 'Twiddle', 'Brassclaw Orcs', 'Windstorm', 'Plains', 'Island', 'Mountain', 'Sanctum of Serra', 'Ancient Den', 'Great Furnace', 'Shivan Oasis', 'Vault of Whispers', 'Island', 'Evacuation', 'Overgrowth', ""Volrath's Gardens"", 'Plains', 'Plains', 'Plains', 'Plains', 'Vivid Meadow', 'Spectral Cloak', 'Floral Spuzzem', 'Crevasse', 'Rubinia Soulsinger', 'Guard Gomazoa', 'Forest', 'Oboro Envoy', 'Descendant of Masumaro', 'Miren, the Moaning Well', 'Oboro, Palace in the Clouds', 'Windstorm', 'Declaration of Naught', 'Twiddle', 'Web', 'Lance', 'Badlands', 'Savannah', 'Taiga', 'Underground Sea', 'Wind Dancer', 'Verduran Enchantress', 'Forest', 'Island', 'Mountain', 'Mountain', 'Plains', 'Plains', 'Sulfurous Springs', 'Swamp', 'Twiddle', 'Web', 'Lance', 'Badlands', 'Savannah', 'Taiga', 'Underground Sea', ""Quest for Ula's Temple"", 'Vastwood Zendikon', 'Walking Atlas', 'Smoldering Spires', 'Twiddle', 'Web', 'Lance', 'Badlands', 'Savannah', 'Taiga', 'Underground Sea', 'Welkin Hawk', 'Nantuko Monastery', 'Mountain', 'Mountain', 'Mountain', 'Cellar Door', ""Inquisitor's Flail"", 'Fyndhorn Bow', 'Demonic Consultation', 'Soul Burn', 'Illusionary Terrain', 'Sea Spirit', 'Brand of Ill Omen', 'Evacuation', ""Will-o'-the-Wisp"", 'Creeping Mold', 'Elvish Bard', 'Kavu Climber', 'Verduran Enchantress', 'Llanowar Wastes', 'Shivan Reef', 'Sulfurous Springs', 'Mountain', 'Beacon of Immortality', 'Jungle Shrine', 'Bloodstained Mire', 'Flooded Strand', 'Polluted Delta', 'Wooded Foothills', 'Plains', 'Guard Gomazoa', 'Contaminated Ground', 'Gravity Well', 'Lesser Gargadon', 'Rhystic Cave', 'Harrow', 'Great Furnace', 'Island', 'Forest', 'Thoughtbind', 'Heartbeat of Spring', ""Honden of Life's Web"", 'Serpent Skin', 'Forest', 'Forest', 'Forest', 'Forest', 'Vastwood Zendikon', 'Smoldering Spires', 'Scatter the Seeds', 'Selesnya Evangel', 'Overgrown Tomb', 'Sacred Foundry', 'Temple Garden', 'Watery Grave', 'Twiddle', 'Web', 'Akoum', 'Guard Gomazoa', 'Sanctum of Serra', 'Fractured Powerstone', 'Tendo Ice Bridge', 'Singing Tree', 'Elephant Graveyard', 'Thrumming Stone', 'Snow-Covered Swamp', 'Beacon of Immortality', 'Kavu Climber', 'Llanowar Wastes', 'Shivan Reef', 'Sulfurous Springs', 'Treetop Village', 'Plains', 'Forest', 'Tectonic Instability', 'Harrow', 'Kavu Climber', 'Tranquility', 'Irrigation Ditch', 'Shivan Oasis', 'Tinder Farm', 'Swamp', 'Swamp', 'Koskun Falls', 'Dark Maze', 'Dark Maze', 'Primal Order', 'Armageddon', 'Exile', 'Lava Blister', 'Deserted Temple', 'Skycloud Expanse', 'Plains', 'Island', 'Swamp', 'Mountain', 'Forest', 'Tidal Flats', 'Tidal Flats', 'Feral Thallid', 'Brassclaw Orcs', 'Dwarven Soldier', 'Brassclaw Orcs', 'Icatian Scout', 'Tangle Kelp', 'Hidden Path', 'Ancient Amphitheater', 'Vivid Meadow', 'Island', 'Forest', 'Arena', 'Rain of Blades', 'Evacuation', 'Lesser Gargadon', 'Wall of Stone', 'Plow Under', 'Verduran Enchantress', 'Shivan Oasis', 'Mountain', 'Absolver Thrull', 'Godless Shrine', 'Steam Vents', 'Stomping Ground', 'Unknown Shores', 'Subversion', 'Silk Net', 'Spawning Pool', 'Graven Cairns', 'Mistveil Plains', 'Island', 'Forest', 'Beacon of Immortality', 'Channel the Suns', 'Fangren Pathcutter', 'Fyndhorn Druid', 'Fyndhorn Druid', 'Exile', ""Lim-Dûl's Vault"", ""Winter's Night"", 'Sheltered Valley', 'Plains', 'Island', 'Llanowar Wastes', 'Shivan Reef', 'Remote Farm', 'Swamp', 'Swamp', 'Mountain', 'Forest', 'Forest', 'Llanowar Wastes', 'Shivan Reef']"
383,Torstein Nordstrand,"['Mardu Hordechief', 'Khans of Tarkir', 'Fate Reforged', 'Dragons of Tarkir', 'Magic Origins']","['Mardu Hordechief', 'Crippling Chill', 'Bellowing Saddlebrute', ""Alesha's Vanguard"", 'Reckless Imp', 'Firefiend Elemental']"
111,Dan Dos Santos,"['Aeon Chronicler', 'Planar Chaos', 'Eventide', 'Magic: The Gathering-Commander', 'Alara Reborn', 'Magic 2011', 'Commander 2016', 'Magic 2013', 'Magic 2010', 'Shards of Alara', 'Coldsnap', 'Tenth Edition', 'Lorwyn', 'Magic 2015 Core Set']","['Aeon Chronicler', 'Frozen Aether', 'Sophic Centaur', 'Timbermare', 'Numot, the Devastator', 'Duskdale Wurm', 'Evershrike', 'Numot, the Devastator', 'Jund Hackblade', 'Duskdale Wurm', 'Aeon Chronicler', 'Wall of Fire', 'Duskdale Wurm', 'Wall of Fire', 'Dawnray Archer', 'Rhox War Monk', 'Tresserhorn Skyknight', 'Thermopod', 'Boreal Druid', 'Honor Guard', 'Arcane Teachings', 'Wall of Fire', 'Captivating Glance', 'Rebellion of the Flamekin', 'Wall of Fire']"
561,Esad Ribic,"['Boldwyr Intimidator', 'Magic: The Gathering—Conspiracy']","['Boldwyr Intimidator', 'Boldwyr Intimidator']"
479,Berry,"['Opal Caryatid', ""Urza's Saga"", 'Eighth Edition']","['Opal Caryatid', 'Songstitcher', 'Catalog', 'Lilting Refrain', 'Hidden Stag', 'Citanul Flute', ""Mishra's Helix"", 'Catalog']"
80,David Martin,"['Ghostly Wings', 'Torment', 'Apocalypse', 'Judgment', 'Planeshift', 'Eventide', 'Magic: The Gathering-Commander', 'Mirrodin', 'Commander 2016', 'Darksteel', 'Scourge', 'Planechase', 'Seventh Edition', 'Ninth Edition', 'Onslaught', 'Future Sight', 'Prophecy', 'Champions of Kamigawa', 'Betrayers of Kamigawa', 'Invasion', 'Odyssey', 'Eighth Edition', 'Nemesis', 'Legions', 'Fifth Dawn', 'Mercadian Masques']","['Ghostly Wings', 'Pitchstone Wall', 'Raka Sanctuary', 'Illusion', 'Reality', 'Phantom Flock', 'Firecat Blitz', 'Harvester Druid', 'Serene Sunset', ""Mirari's Wake"", ""Crosis's Charm"", ""Darigaaz's Charm"", ""Dromar's Charm"", ""Rith's Charm"", ""Treva's Charm"", 'Ward of Bones', 'Fire', 'Ice', 'Blinkmoth Urn', 'Mesmeric Orb', 'Vorrac Battlehorns', 'Blinkmoth Well', 'Blinkmoth Urn', 'Roaring Slagwurm', 'Vulshok Morningstar', 'Primitive Etchings', 'Xantid Swarm', 'Ark of Blight', 'Stabilizer', 'Pentad Prism', 'Charcoal Diamond', 'Fire Diamond', 'Marble Diamond', 'Meekstone', 'Moss Diamond', ""Sisay's Ring"", 'Vulshok Morningstar', 'Piety Charm', 'Trickery Charm', 'Fade from Memory', 'Misery Charm', 'Fever Charm', 'Starstorm', 'Vitality Charm', 'Cryptic Gateway', 'Goblin Burrows', 'Plains', 'Forest', 'Darksteel Garrison', 'Death Charmer', 'Plague Fiend', 'Akki Rockspeaker', 'Shell of the Last Kappa', 'Quillmane Baku', 'Duskwalker', ""Galina's Knight"", 'Riptide Crab', 'Stand', 'Deliver', 'Spite', 'Malice', 'Pain', 'Suffering', 'Darkwater Egg', 'Mossfire Egg', 'Shadowblood Egg', 'Skycloud Egg', 'Sungrass Egg', 'Nomad Stadium', 'Ravaged Highlands', 'Tarnished Citadel', 'Merchant Scroll', 'Rod of Ruin', 'Aether Barrier', 'Coiling Woodworm', 'Wall of Hope', 'Sootfeather Flock', 'Blade Sliver', ""Night's Whisper"", 'Pentad Prism', 'Eye of Ramos', 'Heart of Ramos', 'Horn of Ramos', 'Skull of Ramos', 'Tooth of Ramos']"
66,Mark Brill,"['Frantic Purification', 'Torment', 'Planar Chaos', 'Unhinged', 'Judgment', 'Planeshift', 'Planechase 2012 Edition', 'Mirrodin', 'Time Spiral', ""Urza's Destiny"", 'Commander 2017', 'Commander 2013 Edition', 'Saviors of Kamigawa', 'Seventh Edition', 'Shards of Alara', 'Onslaught', 'Prophecy', 'Planechase Anthology', 'Tenth Edition', 'Invasion', 'Odyssey', 'Eighth Edition', 'Nemesis', ""Urza's Legacy""]","['Frantic Purification', 'Militant Monk', 'Wild Pair', 'Rod of Spanking', 'Water Gun Balloon Game', 'Mirror Wall', 'Arcane Teachings', 'Hunting Grounds', 'Deadapult', 'Fleetfoot Panther', 'Quietus Spike', 'Welding Jar', 'Empty the Warrens', 'Archery Training', 'Sanctimony', 'Impatience', 'Pattern of Rebirth', 'Quietus Spike', 'Slice and Dice', 'Rushing-Tide Zubera', 'Venerable Monk', 'Opposition', 'Sage Owl', 'Quietus Spike', 'Shared Triumph', 'Doomed Necromancer', 'Aether Charge', 'Slice and Dice', 'Threaten', 'Seaside Haven', 'Flameshot', 'Quietus Spike', 'Sage Owl', 'Agonizing Demise', 'Callous Giant', 'Juntu Stakes', 'Battle of Wits', 'Chance Encounter', 'Mine Layer', 'Sarcatog', 'Sage Owl', 'Silkenfist Fighter', 'Burst of Energy', 'Forbidding Watchtower']"
551,XiaoDi Jin,['Verix Bladewing'],['Verix Bladewing']
363,Dom!,"['Tombstone Stairwell', 'Mirage', 'Classic Sixth Edition']","['Tombstone Stairwell', 'Psychic Transfer', 'Spatial Binding', 'Psychic Transfer']"
379,Jason Rainville,"['End Hostilities', 'Khans of Tarkir', 'Battle for Zendikar', 'Oath of the Gatewatch', 'Fate Reforged', 'Rivals of Ixalan', 'Dominaria', 'Dragons of Tarkir', 'Aether Revolt', 'Magic: The Gathering—Conspiracy', 'Eldritch Moon', 'Kaladesh', 'Conspiracy: Take the Crown', 'Amonkhet', 'Hour of Devastation', 'Ixalan', 'Shadows over Innistrad', 'Magic Origins', 'Magic 2015 Core Set']","['End Hostilities', ""Dragon's Eye Savants"", 'Mardu Skullhunter', 'Dragon Grip', 'Kor Entanglers', 'Adverse Conditions', 'Mist Intruder', 'Oracle of Dust', 'Zulaport Cutthroat', 'Reality Smasher', 'Stone Haven Outfitter', 'Chandra, Flamecaller', 'Vile Redeemer', 'Aven Skirmisher', ""Sage's Reverie"", 'Wardscale Dragon', 'Mardu Strike Leader', 'Aquatic Incursion', 'Daring Buccaneer', 'Rekindling Phoenix', 'Jadelight Ranger', 'Ghitu Journeymage', 'Muldrotha, the Gravetide', 'Myth Realized', 'Duress', 'Zurgo Bellstriker', 'Aether Chaser', ""Kari Zev's Expertise"", 'Shock', 'Wrangle', 'Augmenting Automaton', 'Spontaneous Combustion', 'Whispers of Emrakul', 'Eldritch Evolution', 'Era of Innovation', 'Deadlock Trap', 'Chandra, Pyrogenius', 'Hymn of the Wilds', 'Recruiter of the Guard', 'Gust Walker', 'Violent Impact', 'Claim', 'Fame', 'Appeal', 'Authority', ""Tilonalli's Skinshifter"", 'Admiral Beckett Brass', 'Heir of Falkenrath', 'Heir to the Night', 'Voldaren Duelist', 'Separatist Voidmage', 'Graveblade Marauder', 'Stain the Mind']"
410,Anthony Jones,"['Past in Flames', 'Innistrad']","['Past in Flames', 'Brain Weevil', 'Past in Flames', 'Grave Bramble']"
